Month,Expense Category,Expense Items,Expense Values
2025-10-31,Equipment Maintenance,Coffee Machine Service,985.97
2025-10-31,Equipment Maintenance,Equipment Repairs,1032.22
2025-10-31,Insurance,Property Insurance,578.86
2025-10-31,Insurance,Public Liability Insurance,583.49
2025-10-31,Insurance,Workers Compensation,517.59
2025-10-31,Marketing & Advertising,Events & Sponsorships,1055.76
2025-10-31,Marketing & Advertising,Print Advertising,495.6
2025-10-31,Marketing & Advertising,Promotional Materials,999.29
2025-10-31,Marketing & Advertising,Social Media Ads,2118.05
2025-10-31,Other Operating Expenses,Bank Fees,640.96
2025-10-31,Other Operating Expenses,Licenses & Permits,352.82
2025-10-31,Other Operating Expenses,Miscellaneous,333.64
2025-10-31,Other Operating Expenses,Training,307.6
2025-10-31,Other Operating Expenses,Uniforms,443.66
2025-10-31,Professional Services,Accounting Services,670.88
2025-10-31,Professional Services,Consulting,629.8
2025-10-31,Rent,Store Rent - LOC-001,10997.86
2025-10-31,Rent,Store Rent - LOC-002,8854.8
2025-10-31,Rent,Store Rent - LOC-003,10303.98
2025-10-31,Rent,Store Rent - LOC-004,8571.32
2025-10-31,Salaries & Wages,Barista Wages,21972.93
2025-10-31,Salaries & Wages,FOH Wages,24823.46
2025-10-31,Salaries & Wages,Kitchen Staff Wages,23595.53
2025-10-31,Salaries & Wages,Manager Salaries,24166.89
2025-10-31,Salaries & Wages,Overtime,23114.57
2025-10-31,Supplies,Cleaning Supplies,252.83
2025-10-31,Supplies,Disposables,353.33
2025-10-31,Supplies,Office Supplies,616.0
2025-10-31,Supplies,Paper Products,570.28
2025-10-31,Utilities,Electricity,1282.52
2025-10-31,Utilities,Gas,784.2
2025-10-31,Utilities,Internet & Phone,1069.36
2025-10-31,Utilities,Water,1042.71
2025-11-30,Equipment Maintenance,Coffee Machine Service,285.68
2025-11-30,Equipment Maintenance,Maintenance Contracts,628.19
2025-11-30,Insurance,Property Insurance,518.97
2025-11-30,Insurance,Public Liability Insurance,805.87
2025-11-30,Insurance,Workers Compensation,685.44
2025-11-30,Marketing & Advertising,Events & Sponsorships,1135.67
2025-11-30,Marketing & Advertising,Print Advertising,1097.1
2025-11-30,Marketing & Advertising,Promotional Materials,739.74
2025-11-30,Marketing & Advertising,Social Media Ads,1196.29
2025-11-30,Other Operating Expenses,Bank Fees,402.62
2025-11-30,Other Operating Expenses,Licenses & Permits,310.39
2025-11-30,Other Operating Expenses,Miscellaneous,566.99
2025-11-30,Other Operating Expenses,Training,392.58
2025-11-30,Other Operating Expenses,Uniforms,621.96
2025-11-30,Professional Services,Accounting Services,1179.9
2025-11-30,Professional Services,Consulting,627.67
2025-11-30,Professional Services,Legal Services,1087.12
2025-11-30,Rent,Store Rent - LOC-001,8118.37
2025-11-30,Rent,Store Rent - LOC-002,12063.92
2025-11-30,Rent,Store Rent - LOC-003,9191.87
2025-11-30,Rent,Store Rent - LOC-004,8943.63
2025-11-30,Salaries & Wages,Barista Wages,23369.2
2025-11-30,Salaries & Wages,FOH Wages,20082.56
2025-11-30,Salaries & Wages,Kitchen Staff Wages,24401.81
2025-11-30,Salaries & Wages,Manager Salaries,19527.35
2025-11-30,Salaries & Wages,Overtime,17690.21
2025-11-30,Supplies,Cleaning Supplies,433.18
2025-11-30,Supplies,Disposables,453.37
2025-11-30,Supplies,Office Supplies,415.62
2025-11-30,Supplies,Paper Products,707.64
2025-11-30,Utilities,Electricity,644.16
2025-11-30,Utilities,Gas,1561.51
2025-11-30,Utilities,Internet & Phone,1624.36
2025-11-30,Utilities,Water,1114.09
2025-12-31,Equipment Maintenance,Coffee Machine Service,603.92
2025-12-31,Equipment Maintenance,Equipment Repairs,623.97
2025-12-31,Equipment Maintenance,Maintenance Contracts,275.51
2025-12-31,Insurance,Property Insurance,528.46
2025-12-31,Insurance,Public Liability Insurance,683.43
2025-12-31,Insurance,Workers Compensation,578.64
2025-12-31,Marketing & Advertising,Events & Sponsorships,644.09
2025-12-31,Marketing & Advertising,Print Advertising,1511.12
2025-12-31,Marketing & Advertising,Promotional Materials,914.55
2025-12-31,Marketing & Advertising,Social Media Ads,2091.34
2025-12-31,Other Operating Expenses,Bank Fees,538.61
2025-12-31,Other Operating Expenses,Licenses & Permits,309.49
2025-12-31,Other Operating Expenses,Miscellaneous,354.42
2025-12-31,Other Operating Expenses,Training,266.21
2025-12-31,Other Operating Expenses,Uniforms,539.33
2025-12-31,Professional Services,Accounting Services,945.16
2025-12-31,Professional Services,Consulting,360.73
2025-12-31,Professional Services,Legal Services,366.06
2025-12-31,Rent,Store Rent - LOC-001,11563.15
2025-12-31,Rent,Store Rent - LOC-002,11799.72
2025-12-31,Rent,Store Rent - LOC-003,11939.66
2025-12-31,Rent,Store Rent - LOC-004,8912.12
2025-12-31,Salaries & Wages,Barista Wages,22244.25
2025-12-31,Salaries & Wages,FOH Wages,16593.97
2025-12-31,Salaries & Wages,Kitchen Staff Wages,24138.38
2025-12-31,Salaries & Wages,Manager Salaries,17210.38
2025-12-31,Salaries & Wages,Overtime,16199.6
2025-12-31,Supplies,Cleaning Supplies,584.94
2025-12-31,Supplies,Disposables,703.25
2025-12-31,Supplies,Office Supplies,562.24
2025-12-31,Supplies,Paper Products,313.36
2025-12-31,Utilities,Electricity,710.51
2025-12-31,Utilities,Gas,1067.38
2025-12-31,Utilities,Internet & Phone,1023.41
2025-12-31,Utilities,Water,1479.92
2026-01-31,Equipment Maintenance,Coffee Machine Service,345.23
2026-01-31,Equipment Maintenance,Equipment Repairs,971.57
2026-01-31,Insurance,Property Insurance,740.74
2026-01-31,Insurance,Public Liability Insurance,571.26
2026-01-31,Insurance,Workers Compensation,508.02
2026-01-31,Marketing & Advertising,Events & Sponsorships,793.49
2026-01-31,Marketing & Advertising,Print Advertising,1892.55
2026-01-31,Marketing & Advertising,Promotional Materials,705.22
2026-01-31,Marketing & Advertising,Social Media Ads,611.0
2026-01-31,Other Operating Expenses,Bank Fees,280.66
2026-01-31,Other Operating Expenses,Licenses & Permits,264.88
2026-01-31,Other Operating Expenses,Miscellaneous,553.34
2026-01-31,Other Operating Expenses,Training,469.58
2026-01-31,Other Operating Expenses,Uniforms,419.1
2026-01-31,Rent,Store Rent - LOC-001,11364.56
2026-01-31,Rent,Store Rent - LOC-002,11340.57
2026-01-31,Rent,Store Rent - LOC-003,7988.97
2026-01-31,Rent,Store Rent - LOC-004,11353.36
2026-01-31,Salaries & Wages,Barista Wages,25263.52
2026-01-31,Salaries & Wages,FOH Wages,22712.14
2026-01-31,Salaries & Wages,Kitchen Staff Wages,17142.26
2026-01-31,Salaries & Wages,Manager Salaries,16330.91
2026-01-31,Salaries & Wages,Overtime,14012.99
2026-01-31,Supplies,Cleaning Supplies,380.18
2026-01-31,Supplies,Disposables,497.77
2026-01-31,Supplies,Office Supplies,344.96
2026-01-31,Supplies,Paper Products,541.31
2026-01-31,Utilities,Electricity,775.17
2026-01-31,Utilities,Gas,625.3
2026-01-31,Utilities,Internet & Phone,1180.47
2026-01-31,Utilities,Water,1098.56
